zipcode,mean_household_income
92384,50990
89061,50990
93592,50990
93309,53872
93313,129076
93206,58154
95423,40216
95457,68961
96132,66749
96121,53730
96128,69013
91775,142399
91364,175926
90746,93360
90061,50310
91745,81970
90044,43020
90808,108366
90031,68134
90211,132381
90048,108633
90057,27735
90036,126570
90710,81201
90717,67414
90670,32954
91101,86708
91011,217464
91403,210611
91207,178109
91331,50021
91325,137988
90506,83047
90077,422269
90731,72367
90066,51665
90007,23907
90807,90883
90011,38423
90063,73045
91342,81605
91042,81605
93543,79786
93553,84740
90040,71238
91007,80462
90604,77541
90660,67884
90631,102179
91330,85495
90079,77865
91046,82037
93601,60759
94947,126930
94952,91249
95369,104235
95318,63891
95325,64577
95459,61515
95334,54156
95388,80180
93665,43093
95360,69610
95380,60900
95324,68144
96015,54310
93546,74880
93960,48015
93926,78581
95012,62483
93962,73407
94558,145626
94515,88745
92868,82944
92808,97079
92604,102981
92630,139639
92653,136067
92780,75344
92657,351753
96145,89669
95681,84247
92262,103132
92270,167111
92253,212866
92236,55015
92555,81396
92536,72076
92561,72076
92549,54253
92570,68176
92220,76275
92518,54436
92277,56509
95758,75239
95690,66401
95615,66401
95829,57144
95821,51385
95837,98507
95683,132007
95023,88491
92395,41075
92308,66806
92371,62381
92382,74762
92242,43930
92332,43202
92327,43202
92284,51289
92285,38832
92304,43202
92404,80025
92352,103847
92278,50322
92385,80025
92064,166235
92025,125942
92124,105481
91941,105992
91902,110186
92061,78524
92036,51110
92008,100595
92155,107047
92081,83544
92147,78487
94132,53971
94158,131600
94103,112313
94122,83905
95212,85877
95330,92159
93402,66482
93454,102569
94403,146565
94074,127620
94021,127620
94060,127620
93440,102229
93110,71580
93067,120860
93434,47529
93101,51985
95032,226708
95112,54981
95035,117696
95126,133310
95113,75648
94022,341341
95003,130894
95010,73273
96071,46664
96039,37275
96050,37275
96094,51370
96037,50389
94510,76916
94923,95725
95446,63963
95442,101950
94931,71245
95436,84348
95357,59827
95356,129826
95953,81251
95982,81251
93257,78043
93247,60158
93207,78043
95346,76040
93021,203653
91320,127279
91360,113486
93035,127552
95937,72546
94544,69287
94545,108472
94618,248865
96120,83791
95665,71502
95941,49341
95251,62661
94565,57242
94519,104715
95667,67738
96150,82672
95721,67912
93624,27159
93657,94065
93720,92016
93605,83478
95540,54759
95514,44582
95562,60605
95571,44582
95573,40462
95521,79719
95556,40462
95549,50273
92249,59768
92233,48343
92259,39589
92225,53701
93530,50990
93301,30135
93304,57506
93501,39201
93519,43915
93241,38901
93283,44740
93554,43915
93243,67512
93524,72336
93230,75793
95443,51279
95469,55900
96136,53730
96105,60014
96068,66749
96137,59316
96110,44848
91776,72730
90745,81010
90601,118979
90247,58626
90260,65555
90806,82455
90222,63604
90813,40852
90272,92313
90025,62806
90017,42881
90038,40688
90046,233446
90029,48038
91204,41340
91436,227500
90027,100691
90021,58234
90715,64439
90212,133990
93510,110461
90254,137075
90603,129899
90263,188432
90831,86295
93669,59147
93610,74239
94965,164861
94940,118315
94941,128269
94938,87280
95338,53290
95345,53290
95329,77631
95445,61515
95454,43696
95374,60797
95317,70151
95312,80180
96115,44848
96112,44848
93541,48322
93908,73407
93927,85240
93930,62436
93905,35390
95959,57464
95975,70496
95945,73304
95949,87349
95728,57464
95960,56398
90680,63151
92660,179407
92606,95294
90742,108875
92708,76389
92675,163411
92691,104617
92676,115768
92804,59785
92705,136732
92603,190812
92823,140648
92661,139546
95701,76298
95747,101674
95658,90524
95631,71429
95724,67172
92258,47388
92592,111651
92860,75138
92548,56791
92567,80785
95820,67609
95819,90096
95610,67879
95822,52795
95630,114295
95670,57194
95628,90916
95652,44676
92392,76382
92305,86072
92364,43202
92336,106588
93562,50405
93558,50405
92252,42402
92339,86072
92405,61396
92065,95196
92119,91120
92107,107660
92082,115958
91932,62654
92070,60060
91916,75043
91917,100808
91905,64774
91914,125025
92105,44506
92083,51795
92114,69550
92132,126517
94115,156649
94109,83809
94111,166992
94121,88630
95215,48353
95203,49030
95258,89745
95237,61633
95227,86245
93449,95099
93452,88798
93442,88798
93444,75439
93410,15418
94002,155785
94028,273845
93111,106514
95140,355685
95135,355685
95111,67737
94086,88692
95118,81137
94024,248554
95116,46895
94305,196877
95053,94278
95018,93592
95041,99849
95064,68062
96007,50236
96059,54735
96002,62148
96062,65928
96032,50389
96014,50389
95688,129141
95620,80625
95612,119793
94954,108674
95404,128302
95401,97177
94922,95725
95328,46526
95387,69306
95358,76559
96080,75713
95563,52468
96091,55974
96093,55974
96024,52490
93208,78043
95327,77631
95310,54440
93063,115728
93043,57223
95679,82894
95961,83100
95918,93275
94708,128308
94555,139404
95377,126663
94607,33311
94611,157777
94621,47134
94608,113663
94613,64181
95675,72559
95954,45668
95968,49873
95224,76951
95955,65562
94517,135468
94563,250566
94518,68186
94805,89033
94520,56590
95543,54294
95664,98773
95614,98773
95762,146702
95682,106439
95619,71689
93668,34978
93725,64607
93705,48630
93702,32436
93704,110429
93726,42869
93723,52160
95501,36546
95550,61991
95569,44582
95564,44603
95559,44582
95511,44582
92281,39354
92275,37696
93545,50990
93314,121837
93249,40855
93239,48647
95451,62576
95435,50935
96114,91042
91605,64043
91367,81413
93534,65165
93532,82384
93552,74132
90810,53965
90650,55528
91748,95311
91724,105105
91722,84364
90803,148372
90755,76673
90723,53072
90020,48318
90019,71732
91390,42644
91381,102409
90275,200316
91423,133573
91206,147111
90028,46656
90230,104993
90089,18260
91351,88792
91354,148084
90043,41006
90002,43452
90005,59446
90277,109475
91780,80665
93563,84740
93637,50414
93645,64374
94920,209474
94956,87280
94903,112878
94904,231729
94963,102862
94973,102862
94946,118315
95389,79744
95494,61515
95437,58063
95322,56033
95341,70151
97635,54310
96101,54310
93920,80031
93426,80031
94573,213100
96111,58780
92703,67050
92869,189664
92805,77382
92612,108570
92656,92972
92677,112422
92806,66306
90621,85222
90620,78887
92801,61914
92704,77956
92625,195295
92617,67192
95603,61692
95650,133044
95703,80084
96141,83386
95668,90622
95971,48575
96106,76288
92260,55331
92203,101714
92883,117796
92582,74530
92590,88375
92276,54008
92503,112028
92504,119253
92230,76275
92320,60774
92501,76732
