GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008
"G74129","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74129",,,,,"ZCTA5 74129",,18976,18976,10519,2564,915,590,12,3160,1216
"G74130","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74130",,,,,"ZCTA5 74130",,2065,2065,794,851,151,10,1,75,183
"G74131","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74131",,,,,"ZCTA5 74131",,2775,2775,2320,17,250,3,2,33,150
"G74132","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74132",,,,,"ZCTA5 74132",,7543,7543,6186,303,450,122,8,86,388
"G74133","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74133",,,,,"ZCTA5 74133",,43414,43414,33086,3046,1652,2130,32,1387,2081
"G74134","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74134",,,,,"ZCTA5 74134",,15083,15083,8273,1878,691,872,11,2475,883
"G74135","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74135",,,,,"ZCTA5 74135",,20651,20651,15694,1733,1047,406,12,707,1052
"G74136","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74136",,,,,"ZCTA5 74136",,30703,30703,20024,4772,1303,1219,30,1481,1874
"G74137","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74137",,,,,"ZCTA5 74137",,25737,25737,21635,880,896,892,8,522,904
"G74145","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74145",,,,,"ZCTA5 74145",,17402,17402,11711,1934,843,420,6,1518,970
"G74146","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74146",,,,,"ZCTA5 74146",,15498,15498,7146,2233,736,432,6,3842,1103
"G74301","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74301",,,,,"ZCTA5 74301",,11840,11840,7832,451,2386,94,13,92,972
"G74330","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74330",,,,,"ZCTA5 74330",,2884,2884,2127,3,500,2,0,15,237
"G74331","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74331",,,,,"ZCTA5 74331",,7258,7258,5674,13,1016,38,0,37,480
"G74332","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74332",,,,,"ZCTA5 74332",,1972,1972,1430,3,375,11,1,3,149
