STCOU,County Population,Black Population (%),White Population (%),Median Income,% Below Poverty,Blue,Red
20197,6885,0.004647785,0.972403776,42317,0.069716776,0.299707602,0.638011696
20199,1749,0.006289308,0.946255003,34816,0.110920526,0.119628339,0.855981417
20201,6483,0.001079747,0.98904828,30793,0.096251735,0.210284665,0.748699112
20203,2531,0.000790202,0.862504939,35892,0.115369419,0.189908257,0.788073394
20205,10332,0.003677894,0.967770035,30975,0.122338366,0.28962149,0.671062271
20207,3788,0.008183738,0.969640971,26334,0.124868004,0.326645768,0.610658307
20209,157882,0.283274851,0.581801599,33071,0.140510001,0.671424428,0.290520384
21000,4041769,0.073233775,0.900815707,35150,0.136161171,0.413743931,0.565017061
21001,17244,0.025516122,0.960044073,24574,0.206738576,0.242767467,0.745087336
21003,17800,0.010730337,0.976179775,32317,0.132640449,0.303313112,0.686731996
21005,19111,0.023494323,0.965307938,46617,0.077442311,0.364252542,0.616166688
21007,8286,0.028723147,0.953174028,33950,0.12720251,0.49867374,0.483819629
21009,38033,0.04091184,0.942970578,32458,0.144190571,0.356110951,0.631392661
21011,11085,0.01849346,0.968696437,27539,0.189806044,0.466577241,0.51486698
21013,30060,0.023952096,0.960212908,20483,0.260113107,0.451135614,0.52634059
21015,85991,0.015187636,0.951518182,55418,0.057261806,0.289144572,0.688344172
21017,19360,0.069369835,0.903770661,36769,0.118801653,0.42917488,0.546465784
21019,49752,0.025466313,0.959700113,33567,0.139873774,0.49739339,0.482066521
21021,27697,0.096761382,0.877748493,36573,0.111095064,0.383788495,0.593259733
21023,8279,0.006160164,0.984780771,35719,0.114748158,0.294137132,0.684001325
21025,16100,0.003913043,0.98689441,20850,0.27484472,0.572048098,0.410802287
21027,18648,0.028635779,0.958386958,31624,0.155083655,0.34818194,0.639071515
21029,61236,0.003804951,0.980664968,46867,0.077699393,0.360997313,0.61909167
21031,13010,0.005226749,0.97878555,30431,0.157263643,0.259281437,0.729341317
21033,13060,0.048085758,0.938897397,30351,0.141653905,0.405508938,0.576614374
21035,34177,0.035638002,0.934839219,31557,0.127951546,0.412126088,0.563519345
21037,88616,0.015730794,0.966371761,43042,0.08490566,0.355907653,0.61453191
21039,5351,0.009530929,0.977761166,32092,0.125210241,0.443116082,0.541843425
21041,10155,0.019399311,0.95155096,36819,0.130969966,0.457559303,0.519577022
21043,26889,0.001301648,0.990181859,28057,0.192383503,0.466793169,0.515347695
21045,15447,0.003301612,0.98297404,23342,0.207677866,0.205156336,0.783324191
21047,72265,0.237293296,0.699218155,31789,0.135418252,0.381364992,0.606931863
21049,33144,0.047731113,0.936006517,40736,0.113866763,0.39429167,0.585023651
21051,24556,0.047971982,0.939200195,18256,0.292230005,0.25643697,0.733144813
21053,9634,0.00103799,0.990865684,21293,0.226904712,0.239721254,0.748896632
21055,9384,0.006500426,0.98241688,29905,0.156969309,0.387578238,0.594366875
21057,7147,0.034140199,0.952847349,22416,0.224429831,0.244843646,0.738522954
21059,91545,0.043497733,0.936938118,38067,0.10989131,0.389790287,0.589431567
21061,11644,0.005754036,0.983940227,27332,0.166867056,0.342342342,0.650650651
21063,6748,0.000296384,0.990367516,22450,0.245109662,0.64048719,0.347333053
21065,15307,0.001110603,0.990723199,25160,0.207944078,0.337791932,0.643949045
21067,260512,0.134796094,0.810404127,40696,0.103070108,0.448220939,0.51665292
21069,13792,0.014138631,0.973317865,29235,0.171113689,0.350067581,0.633713072
21071,42441,0.012864918,0.977309677,22959,0.24200655,0.655320255,0.329219176
21073,47687,0.093589448,0.879757586,41542,0.090947218,0.501200702,0.471460238
21075,7752,0.231940144,0.751160991,25792,0.198658411,0.520803443,0.463773314
21077,7870,0.0158831,0.967217281,35900,0.140152478,0.426596177,0.546970313
21079,14792,0.030624662,0.957477015,35440,0.137641969,0.294178259,0.694315645
21081,22384,0.002546462,0.983112938,39243,0.115394925,0.361537379,0.620160496
21083,37028,0.04442584,0.927271254,32234,0.135167981,0.428310502,0.551387425
21085,24053,0.004988983,0.982580136,28974,0.160354218,0.304418985,0.683072247
21087,11518,0.026133009,0.961885744,26271,0.180500087,0.228132885,0.760092515
21089,36891,0.005746659,0.9806999,33229,0.134260389,0.48857669,0.493282412
21091,8392,0.008460439,0.979742612,40005,0.102955195,0.417728532,0.562880886
21093,94174,0.118695181,0.819939686,39641,0.098339244,0.36151841,0.617921147
21095,33202,0.026173122,0.955605084,20660,0.26898982,0.509254865,0.472710014
21097,17983,0.025246066,0.956458878,37191,0.112828783,0.402057177,0.573740735
21099,17445,0.061966179,0.925766695,26587,0.200458584,0.365675361,0.618873567
