STCOU,County Population,Black Population (%),White Population (%),Median Income,% Below Poverty,Blue,Red
35039,40246,0.005068827,0.516274909,39723,0.172787358,0.749881936,0.24120425
35041,19846,0.018341227,0.768517585,33167,0.18704021,0.342708333,0.641517857
35043,131561,0.021282903,0.680155973,57378,0.102119929,0.557206208,0.429694696
35045,130044,0.005813417,0.515579342,46007,0.133585556,0.387607233,0.599191589
35047,29393,0.014016943,0.666247066,31002,0.240057156,0.79746542,0.191484429
35049,144170,0.008594021,0.761600888,52220,0.120191441,0.769380945,0.218863797
35051,11988,0.004087421,0.85627294,26864,0.241825158,0.428805834,0.550045579
35053,17866,0.010522781,0.75137132,30729,0.266987574,0.59480684,0.384040532
35055,32937,0.004341622,0.687342502,31660,0.172389714,0.818192586,0.169726401
35057,16383,0.013367515,0.760544467,33048,0.203991943,0.444748595,0.538106901
35059,4549,0.017586283,0.817322488,33442,0.132336777,0.282433984,0.704362801
35061,76569,0.013987384,0.731719103,41494,0.142668704,0.5317139,0.4545486
36001,304204,0.126918121,0.781952243,54395,0.114078053,0.637872965,0.343500876
36003,48946,0.010705676,0.961978507,38828,0.156682875,0.38118005,0.598337499
36005,1385108,0.364736901,0.279037447,32888,0.265598784,0.887074441,0.109311815
36007,200600,0.047926221,0.879581256,43065,0.131151545,0.531355179,0.451129597
36009,80317,0.01274948,0.929305128,38811,0.141974924,0.438636294,0.544807922
36011,80026,0.039924525,0.925224302,47926,0.117561792,0.532831697,0.448033625
36013,134905,0.023698158,0.925651384,38203,0.167554946,0.495374307,0.486020884
36015,88830,0.065608466,0.886761229,43223,0.149206349,0.488125081,0.500426412
36017,50477,0.006834796,0.968678804,41515,0.139766626,0.48448218,0.495850722
36019,82128,0.039073154,0.925348237,45740,0.131246347,0.606413295,0.377328494
36021,63096,0.04524851,0.905540763,49795,0.099308989,0.558521299,0.424299303
36023,49336,0.015404573,0.95064456,42032,0.138945192,0.541104015,0.441514599
36025,47980,0.016235932,0.95195915,43340,0.151187995,0.464073765,0.516160675
36027,297488,0.09922417,0.801333163,68891,0.08060157,0.537104503,0.450696135
36029,919040,0.13484832,0.800013057,46739,0.129401332,0.57988167,0.404572553
36031,39370,0.027254255,0.942341885,42924,0.116129032,0.558752353,0.425544501
36033,51599,0.06060195,0.84181864,40217,0.139130603,0.60336758,0.381050228
36035,55531,0.019088437,0.953485441,39467,0.140552124,0.444235704,0.536519428
36037,60079,0.026831339,0.928560728,49787,0.099735348,0.400476315,0.584415584
36039,49221,0.057414518,0.902866663,45492,0.111558075,0.441011865,0.539914932
36041,4836,0.007237386,0.972911497,43331,0.108767577,0.359132219,0.627675169
36043,64519,0.010849517,0.965917017,40523,0.132705095,0.444894055,0.537779576
36045,116229,0.050555369,0.886585964,42926,0.137650672,0.467160418,0.519981484
36047,2504700,0.343387631,0.428011738,42932,0.212775582,0.794270696,0.199871553
36049,27087,0.006792926,0.977036955,43741,0.12950862,0.447656671,0.53591309
36051,65393,0.024436866,0.938372609,50122,0.094199685,0.452917178,0.531692593
36053,73442,0.018381852,0.949592876,51389,0.109596689,0.492987048,0.484329911
36055,744344,0.15204126,0.761119859,50283,0.123675344,0.581809867,0.404748277
36057,50219,0.018937056,0.906409925,39541,0.157908361,0.450061958,0.530904585
36059,1339532,0.111269458,0.729789956,92221,0.048275816,0.538350078,0.454323194
36061,1585873,0.155552809,0.574493039,68295,0.1688313,0.856988853,0.134677377
36063,216469,0.068605666,0.88545242,42580,0.117818256,0.496504744,0.486480813
36065,234878,0.062534592,0.871426868,45663,0.131349041,0.46103958,0.521973189
36067,467026,0.109672695,0.811271749,49886,0.110664074,0.59254762,0.389352957
36069,107931,0.022532915,0.936505731,52764,0.092216323,0.492022736,0.493355547
36071,372813,0.101782931,0.771974153,68057,0.096096434,0.515363661,0.47401666
36073,42883,0.058834503,0.898444605,43360,0.127113308,0.398818138,0.585383502
36075,122109,0.007960101,0.963336036,45928,0.150922536,0.502077043,0.477638858
36077,62259,0.017122023,0.946610129,41157,0.158065501,0.519505379,0.46039585
36079,99710,0.023568348,0.907331261,83768,0.048139605,0.457476082,0.532236898
36081,2230722,0.191275739,0.397204582,54671,0.124868092,0.750920506,0.242480906
36083,159429,0.064843912,0.875179547,54262,0.097566942,0.537304355,0.443867759
36085,468730,0.106366138,0.728942035,65388,0.105698376,0.476119295,0.516646856
36087,311687,0.118894917,0.732449541,78218,0.097546577,0.526071728,0.467135174
36089,111944,0.021617952,0.938540699,41627,0.150655685,0.573634032,0.410298601
36091,219607,0.014885682,0.943417104,66634,0.071313756,0.508542289,0.474516775
36093,154727,0.095070673,0.796312214,52675,0.11033627,0.552833539,0.426076
36095,32749,0.013282848,0.958868973,48640,0.100430547,0.417233718,0.560408277
36097,18343,0.008668157,0.970560977,42442,0.122989696,0.457325581,0.528139535
36099,35251,0.045587359,0.924541148,44321,0.105131769,0.503493657,0.477443864
36101,98990,0.015557127,0.952773007,42764,0.12975048,0.409152728,0.577485624
36103,1493350,0.074479526,0.807779154,82984,0.055811431,0.525250122,0.465339151
36105,77547,0.090770758,0.819631965,43384,0.154461165,0.540358529,0.4457557
36107,51125,0.007334963,0.969310513,48788,0.088958435,0.439756171,0.541956682
36109,101564,0.039580954,0.826483793,45535,0.149905478,0.700930626,0.280292348
36111,182493,0.060177651,0.866794891,55285,0.115078387,0.609316986,0.373531952
36113,65707,0.008979256,0.964752614,50017,0.10291141,0.504915491,0.47849279
36115,63216,0.029944951,0.946200329,46140,0.0988041,0.495180723,0.487096774
36117,93772,0.030787442,0.929360577,49849,0.095145672,0.443025947,0.541819954
36119,949113,0.145523241,0.681131751,77057,0.082768859,0.633854989,0.357889232
36121,42155,0.056339699,0.915715811,47376,0.100865852,0.361068659,0.622516556
36123,25348,0.008008521,0.972344958,43140,0.133028247,0.475680934,0.512548638
37001,151131,0.187711323,0.710774097,43103,0.15128597,0.44936522,0.541684148
37003,37198,0.054922308,0.895854616,40813,0.120275284,0.29946679,0.68331981
37005,11155,0.012550426,0.922277006,33501,0.178395338,0.38400152,0.593577807
37007,26948,0.485750334,0.471537776,32500,0.197417248,0.601509364,0.391968695
37009,27281,0.005901543,0.954877021,34056,0.146915436,0.372790573,0.605708164
37011,17797,0.039838175,0.919480811,33919,0.152048098,0.274203701,0.715220949
37013,47759,0.255930819,0.681567872,38829,0.182101803,0.410864841,0.58496306
37015,21282,0.624753313,0.351846631,29693,0.200357109,0.651951244,0.34579535
37017,35190,0.348621768,0.56283035,31248,0.215260017,0.507299742,0.486563307
37019,107431,0.114408318,0.830235221,44891,0.113235472,0.405470651,0.584568887
37021,238318,0.063826484,0.87358907,40979,0.130212573,0.563156832,0.424039743
37023,90912,0.066129884,0.843848997,36177,0.146515312,0.397964907,0.590283898
37025,178011,0.152906281,0.753599497,52988,0.092601019,0.40446701,0.588814524
37027,83029,0.049211721,0.902395549,35489,0.145696082,0.343649552,0.640762338
37029,9980,0.131863727,0.820941884,55985,0.083667335,0.331259075,0.651317154
37031,66469,0.060795258,0.892837262,44036,0.110276971,0.321704194,0.668583981
37033,23719,0.338125553,0.624773388,34028,0.174248493,0.510495305,0.479469711
37035,154358,0.084485417,0.817262468,42100,0.138275956,0.369411528,0.619040763
37037,63505,0.132147075,0.759577986,57174,0.101377844,0.543248175,0.446107056
37039,27444,0.012753243,0.936452412,33408,0.171221396,0.300730971,0.686715398
37041,14793,0.342729669,0.620158183,35944,0.178530386,0.490947817,0.502263046
37043,10587,0.00604515,0.966373855,39298,0.147822802,0.312826989,0.668771423
37045,98078,0.20730439,0.755755623,38304,0.172087522,0.396099008,0.594912741
37047,58098,0.304881407,0.615081414,33024,0.200936349,0.456140351,0.535128902
37049,103505,0.224076132,0.699879233,41021,0.133201295,0.433920804,0.558343423
37051,319431,0.366642561,0.513613269,41163,0.145042278,0.585483049,0.408786988
37053,23547,0.057799295,0.903214847,51997,0.099120907,0.336606017,0.651594307
37055,33920,0.024587264,0.923142689,49565,0.091303066,0.447362589,0.539949025
37057,162878,0.088538661,0.843324451,43420,0.139380395,0.327102259,0.662267975
37059,41240,0.062875849,0.875363725,49057,0.106401552,0.303318932,0.686419874
37061,58505,0.252508333,0.571728912,31026,0.185197846,0.450060289,0.544312701
37063,267587,0.379603643,0.464424654,48770,0.130256702,0.755721455,0.236330964
37065,56552,0.573542934,0.387660914,32172,0.20549229,0.671153105,0.325684535
37067,350670,0.260150569,0.623141415,45769,0.141734394,0.548265546,0.443463972
37069,60619,0.267440901,0.65990861,43359,0.133736947,0.491197117,0.498254439
37071,206086,0.152513999,0.782032744,40940,0.149233815,0.37183953,0.622106111
37073,12197,0.33155694,0.636877921,42742,0.149217021,0.522140221,0.469926199
37075,8861,0.001918519,0.903284054,30727,0.154497235,0.303284584,0.677055862
37077,59916,0.327992523,0.604262634,46305,0.113792643,0.528776542,0.4629727
37079,21362,0.372811535,0.507911244,38733,0.1869207,0.468468468,0.527212144
37081,488406,0.325342031,0.570273502,44386,0.128024635,0.587750392,0.404175852
37083,54691,0.532244793,0.40024867,29966,0.230952076,0.639552031,0.35714001
37085,114678,0.209046199,0.682781353,42792,0.143846248,0.412357204,0.579265447
37087,59036,0.010569822,0.955433972,40380,0.13717054,0.453557559,0.531228845
37089,106740,0.030204235,0.88920742,44408,0.119645868,0.389080482,0.599256016
37091,24669,0.605334631,0.356155499,31879,0.193562771,0.705446009,0.290046948
37093,46952,0.334724825,0.453058443,40838,0.177074459,0.590452422,0.402700454
37095,5810,0.316006885,0.639931153,33097,0.171772806,0.502632645,0.490886999
37097,159437,0.119464114,0.806876697,47979,0.112251234,0.373390558,0.617096307
37099,40271,0.018499665,0.831590971,37823,0.141491396,0.519743863,0.46567058
